name,category,price,measure,madori,hikiwatashi,kanseijiki,floor,building,adress,nearest_line,nearest_station,walk_time,url
ヴィークステージ世田谷千歳烏山,新築マンション,5900万円台～8900万円台,63.79,2LDK+S（納戸）～4LDK,2024年3月下旬予定,,,,東京都世田谷区北烏山８-2092-1（地番）,京王線,千歳烏山,17,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727249/
ディアナコート駒沢公園,新築マンション,未定,44.14,1LDK+S（納戸）～3LDK,2024年3月中旬予定,,,,東京都世田谷区深沢２-39-4（地番）,東急田園都市線,駒沢大学,20,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67726986/
ディアナコート二子玉川翠景,新築マンション,未定,34.44,1LDK～3LDK,2024年7月下旬予定,,,,東京都世田谷区玉川２-1495-2他（地番）,東急田園都市線,二子玉川,6,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727932/
ピアース等々力レジデンス,新築マンション,未定,33.82,1LDK～3LDK,2024年9月下旬予定,,,,東京都世田谷区等々力８-67-11他（地番）,東急大井町線,等々力,11,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727930/
クリオ世田谷松原ザ・クラシック,新築マンション,5694万7000円～1億3894万7000円,45.29,1LDK～3LDK,2024年3月下旬予定,,,,東京都世田谷区赤堤２丁目11番1、他（地番）,東急世田谷線,松原,6,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67727207/
ピアース世田谷松原,新築マンション,5980万円～8990万円,39.22,1R+S（納戸）～2LDK,2024年3月下旬予定,,,,東京都世田谷区松原６-1579-1（地番）,小田急線,梅ヶ丘,2,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67726985/
クレヴィア三軒茶屋,新築マンション,5900万円台～6900万円台,36.36,1R～1LDK※1RはLDK,2023年10月下旬予定,,,,東京都世田谷区若林１-69-1他（地番）,東急田園都市線,三軒茶屋,11,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67721652/
パークホームズ三軒茶屋一丁目,新築マンション,4200万円台～2億8000万円台,28.77,1K～3LDK,2023年12月中旬予定,,,,東京都世田谷区三軒茶屋１-79-2（地番）,東急田園都市線,三軒茶屋,4,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67724529/
レジデンスコート世田谷桜丘,新築マンション,未定,55.65,1LDK+S（納戸）～4LDK,2024年3月下旬予定,,,,東京都世田谷区桜丘５-3049-1（地番）,小田急線,千歳船橋,7,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67724220/
リムテラス芦花公園,新築マンション,5990万円～7990万円,73.56,2LDK+S（納戸）・3LDK,2023年3月末予定,,,,東京都世田谷区南烏山１-228-76他（地番）、東京都世田谷区南烏山１-9-24（住居表示）,京王線,芦花公園,5,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67728018/
シティハウス二子玉川 ザ・グランド,新築マンション,6400万円～3億円,40.03,1LDK～3LDK,2024年4月中旬予定,,,,東京都世田谷区玉川２-1467-1（地番）,東急田園都市線,二子玉川,4,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67719389/
パークホームズ深沢七丁目,新築マンション,未定,65.87,2LDK～3LDK,2023年9月下旬予定,,,,東京都世田谷区深沢７-127-3（地番）,東急田園都市線,桜新町,11,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67725569/
Brillia(ブリリア)自由が丘,新築マンション,未定,32.77,1K～3LDK,2024年6月下旬予定,,,,東京都世田谷区奥沢５-259-1（地番）,東急東横線,自由が丘,2,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67725485/
成城コーポラティブハウス 6840万円（2LDK）,新築マンション,6840万円,60.82,2LDK,2024年1月予定,2024年1月,4,RC6階地下1階建,東京都世田谷区成城１,小田急線,成城学園前,14,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_71695546/
リムテラスヒルズ奥沢 7690万円（3LDK）,新築マンション,7690万円,72.64,3LDK,即引渡可,2022年9月,3,鉄骨3階建,東京都世田谷区奥沢１,東急目黒線,奥沢,11,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_71216507/
リムテラス世田谷弦巻 7880万円（2LDK+S（納戸））,新築マンション,7880万円,88.06,2LDK+S（納戸,相談,2023年2月,3,軽量鉄骨3階建,東京都世田谷区弦巻１-50-6,東急田園都市線,桜新町,12,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_71661626/
グランスイート世田谷仙川,新築マンション,4290万円,44.06,1LDK,2023年4月上旬予定,2023年2月下旬予定,1,,東京都世田谷区給田１-478-9,京王線,仙川,10,https://suumo.jp/ms/shinchiku/tokyo/sc_setagaya/nc_67725331/