区分,名称,都道府県,市区群,住所,0歳定員,1歳定員,2歳定員,3歳定員,4歳定員,5歳定員,定員,受入年齢,対象年齢,開所時間,閉所時間,延長保育時間（開始）,延長保育時間（終了）,latitude,longitude,latlng,nearlest_station,walk_time
認可外保育施設,ウィズダムアカデミー 二子玉川校,東京都,世田谷区（69.9％）,東京都世田谷区玉川4-11-2 あっぷるハウス2階,,,,,,,40,,,13:00:00,22:00:00,,,35.616901,139.625431,"35.616901,139.625431",二子玉川,11
認可外保育施設,一時預かり保育ひよこルーム,東京都,世田谷区（69.9％）,東京都世田谷区用賀2-33-17,,,,,,,8,,,9:00:00,17:00:00,,,35.6258544,139.6349082,"35.6258544,139.6349082",用賀,3
認可外保育施設,ウィズダムアカデミー　Prime 世田谷深沢校,東京都,世田谷区（69.9％）,東京都世田谷区深沢7-4-1 ヒューリック深沢B1,,,,,,,40,,,13:00:00,22:00:00,,,35.6242665,139.6476564,"35.6242665,139.6476564",桜新町,15
認可外保育施設,ヤクルト 池尻保育園,東京都,世田谷区（69.9％）,東京都世田谷区池尻2-37-2 グレートラッキー101,,,,,,,19,,,8:15:00,16:30:00,,,35.647792,139.680629,"35.647792,139.680629",池尻大橋,7
認可外保育施設,ヤクルト 桜新町保育園,東京都,世田谷区（69.9％）,東京都世田谷区用賀3-3-21,,,,,,,17,,,8:15:00,16:00:00,,,35.632,139.6385542,"35.632,139.6385542",桜新町,10
認可外保育施設,楽天ゴールデンキッズ,東京都,世田谷区（69.9％）,東京都世田谷区玉川1-14-1 楽天クリムゾンハウスアネックス,,,,,,,70,,,7:30:00,20:00:00,,,35.6106974,139.6306561,"35.6106974,139.6306561",二子玉川,8
認可外保育施設,Brighton Nursery SchoolCampus1,東京都,世田谷区（69.9％）,東京都世田谷区赤堤4-41-6,,,,,,,18,,,7:30:00,19:00:00,,,35.6653539,139.6413237,"35.6653539,139.6413237",下高井戸,3
認可外保育施設,みやさか保育園,東京都,世田谷区（69.9％）,東京都世田谷区宮坂1-42-17 第一建築ビル1F,,,,,,,19,,,7:30:00,18:30:00,,,35.6508379,139.643635,"35.6508379,139.643635",宮の坂,7
認可外保育施設,カメリアキッズ 経堂園,東京都,世田谷区（69.9％）,東京都世田谷区経堂1-19-14第六経堂ビル2F,,,,,,,35,,,7:30:00,20:30:00,,,35.6508494,139.6376974,"35.6508494,139.6376974",経堂,3
認可外保育施設,えすこーと保育園,東京都,世田谷区（69.9％）,東京都世田谷区太子堂2-24-1-1階,,,,,,,30,,,8:00:00,19:00:00,,,35.646374,139.6705012,"35.646374,139.6705012",三軒茶屋,6
認可外保育施設,Brighton Nursery SchoolSangenjaya,東京都,世田谷区（69.9％）,東京都世田谷区若林2-17-7光ビル1階,,,,,,,28,,,7:30:00,19:00:00,,,35.6476249,139.6607738,"35.6476249,139.6607738",若林（東京都）,5
認可外保育施設,シルス北沢保育園,東京都,世田谷区（69.9％）,東京都世田谷区北沢5-22-8-1階,,,,,,,12,,,7:00:00,20:00:00,,,35.670506,139.6699829,"35.670506,139.6699829",笹塚,7
認可外保育施設,ヴォ―トル託児室,東京都,世田谷区（69.9％）,東京都世田谷区松原3-40-7 パインフィールドビル4F,,,,,,,3,,,9:30:00,18:15:00,,,35.6673662,139.6425391,"35.6673662,139.6425391",下高井戸,4
認可外保育施設,カメリアキッズ豪徳寺園,東京都,世田谷区（69.9％）,東京都世田谷区豪徳寺1-21-5 ヴィラ・ゴートク1-D,,,,,,,17,,,7:30:00,20:30:00,,,35.6529756,139.6477001,"35.6529756,139.6477001",豪徳寺,4
認可外保育施設,カメリアキッズ経堂2号園,東京都,世田谷区（69.9％）,東京都世田谷区宮坂2-18-3 キャッスル経堂1F,,,,,,,17,,,7:30:00,20:30:00,,,35.6510787,139.6385342,"35.6510787,139.6385342",経堂,4
認可外保育施設,こもれび保育園 赤堤園,東京都,世田谷区（69.9％）,東京都世田谷区赤堤4-46-3 ほんだビル2F,,,,,,,36,,,7:30:00,20:30:00,,,35.6656829,139.6408056,"35.6656829,139.6408056",下高井戸,3
認可外保育施設,ten kids 千歳船橋園,東京都,世田谷区（69.9％）,東京都世田谷区経堂4-14-8 Garden Terrace Chitosefunabashi 1・2階,,,,,,,19,,,7:30:00,20:30:00,,,35.6480074,139.6268997,"35.6480074,139.6268997",千歳船橋,5
認可外保育施設,ベビーズリング世田谷経堂ルーム,東京都,世田谷区（69.9％）,東京都世田谷区経堂2-4-11 クオーツIII,,,,,,,12,,,7:00:00,20:00:00,,,35.6526636,139.6357051,"35.6526636,139.6357051",経堂,5
認可外保育施設,ten kids 玉川台園,東京都,世田谷区（69.9％）,東京都世田谷区玉川台1-1-1 ニューガイアリルーム用賀No32,,,,,,,26,,,7:30:00,20:30:00,,,35.6214533,139.6313283,"35.6214533,139.6313283",用賀,11
認可外保育施設,保育園めでぃぷる用賀,東京都,世田谷区（69.9％）,東京都世田谷区用賀4-12-12 Hiro'sビル1階,,,,,,,12,,,7:30:00,20:30:00,,,35.6279922,139.63443,"35.6279922,139.63443",用賀,5
認可外保育施設,ココナッツ保育園,東京都,世田谷区（69.9％）,東京都世田谷区南烏山3-9-10,,,,,,,29,,,7:30:00,18:30:00,,,35.6714439,139.6065448,"35.6714439,139.6065448",芦花公園,5
認可外保育施設,あおぞら保育園,東京都,世田谷区（69.9％）,東京都世田谷区喜多見1-18-6,,,,,,,12,,,8:15:00,18:15:00,,,35.6215792,139.595056,"35.6215792,139.595056",喜多見,31
認可外保育施設,空と虹の家保育園,東京都,世田谷区（69.9％）,東京都世田谷区若林3-23-5,,,,,,,12,,,8:00:00,19:00:00,,,35.644481,139.6571463,"35.644481,139.6571463",松陰神社前,4
認可外保育施設,そらまめ保育園,東京都,世田谷区（69.9％）,東京都世田谷区桜上水4-16-11 J'Sコート桜上水,,,,,,,16,,,7:00:00,20:00:00,,,35.6677379,139.6329159,"35.6677379,139.6329159",桜上水,3
認可外保育施設,奥沢エキチカ保育園,東京都,世田谷区（69.9％）,東京都世田谷区奥沢3-47-6,,,,,,,18,,,7:00:00,7:00:00,,,35.603937,139.6728879,"35.603937,139.6728879",奥沢,2
認可外保育施設,KBCほいくえん駒沢,東京都,世田谷区（69.9％）,東京都世田谷区上馬4-1-3 東急上馬ビル3階,,,,,,,30,,,7:30:00,20:30:00,,,35.6353714,139.6640028,"35.6353714,139.6640028",駒沢大学,6
認可外保育施設,ten kids 下北沢園,東京都,世田谷区（69.9％）,東京都世田谷区代沢5-30-7 フェアウィンズ代沢1・2階,,,,,,,19,,,7:30:00,19:30:00,,,35.6583133,139.66783,"35.6583133,139.66783",下北沢,11
認可外保育施設,ten kids 上野毛一丁目園,東京都,世田谷区（69.9％）,東京都世田谷区上野毛1-22-5 グランデュオ上野毛II1階,,,,,,,29,,,7:30:00,19:30:00,,,35.6134114,139.6400456,"35.6134114,139.6400456",上野毛,4
認可外保育施設,トリオランド駒沢大学園,東京都,世田谷区（69.9％）,東京都世田谷区野沢2-33-5 グランドメゾン野沢103号室,,,,,,,19,,,7:30:00,20:30:00,,,35.6358829,139.6654977,"35.6358829,139.6654977",駒沢大学,9
認可外保育施設,木下の保育園自由が丘,東京都,世田谷区（69.9％）,東京都世田谷区奥沢7-3-8 GranDuo自由が丘1階,,,,,,,19,,,7:30:00,18:30:00,,,35.6063906,139.6652386,"35.6063906,139.6652386",九品仏,7
認可外保育施設,保育ルームすまいる世田谷奥沢園,東京都,世田谷区（69.9％）,東京都世田谷区奥沢7-22-8 パンプアップビルIII1階,,,,,,,19,,,8:00:00,17:00:00,,,35.6061076,139.659538,"35.6061076,139.659538",九品仏,4
認可外保育施設,まなびば インターナショナルスクール,東京都,世田谷区（69.9％）,東京都世田谷区駒沢2-13-6-102,,,,,,,19,,,8:00:00,18:00:00,,,35.6321225,139.6580631,"35.6321225,139.6580631",駒沢大学,8
認可外保育施設,YOGA International School,東京都,世田谷区（69.9％）,東京都世田谷区上用賀5-3-14,,,,,,,16,,,7:30:00,19:30:00,,,35.6274713,139.6287722,"35.6274713,139.6287722",用賀,9
認可外保育施設,アベニール保育園,東京都,世田谷区（69.9％）,"東京都世田谷区世田谷4-7-6 セイフピア1,2F",,,,,,,19,,,7:30:00,19:30:00,,,35.6428578,139.6518871,"35.6428578,139.6518871",世田谷,4
認可外保育施設,コティ おうち保育園,東京都,世田谷区（69.9％）,東京都世田谷区成城7-29-27,,,,,,,12,,,8:00:00,18:00:00,,,35.6497209,139.6017153,"35.6497209,139.6017153",成城学園前,17
認可外保育施設,ten kids 芦花園,東京都,世田谷区（69.9％）,"東京都世田谷区南烏山3-19-1 グランデュオLOCA1,2階",,,,,,,19,,,7:30:00,20:30:00,,,35.6715285,139.6059773,"35.6715285,139.6059773",芦花公園,6
認可外保育施設,あいねっこ保育園,東京都,世田谷区（69.9％）,東京都世田谷区北烏山1-57-18,,,,,,,10,,,7:00:00,18:30:00,,,35.6787405,139.6049418,"35.6787405,139.6049418",富士見ヶ丘,11
認可外保育施設,こもれび保育園 下北沢園,東京都,世田谷区（69.9％）,東京都世田谷区北沢2-33-2 SIIビル1階,,,,,,,22,,,7:30:00,20:30:00,,,35.6628986,139.6688535,"35.6628986,139.6688535",下北沢,8
認可外保育施設,こもれび保育園 桜新町園,東京都,世田谷区（69.9％）,東京都世田谷区桜新町2-1-12,,,,,,,19,,,7:30:00,20:30:00,,,35.6324066,139.6456675,"35.6324066,139.6456675",桜新町,4
認可外保育施設,Mlsa BB Nursery school代田園,東京都,世田谷区（69.9％）,東京都世田谷区代田5-6-11,,,,,,,18,,,7:00:00,20:00:00,,,35.6584317,139.6611724,"35.6584317,139.6611724",世田谷代田,2
認可外保育施設,そらまめ保育園 千歳烏山園,東京都,世田谷区（69.9％）,東京都世田谷区南烏山4-8-1 荒井ビル1階,,,,,,,19,,,7:30:00,20:00:00,,,35.6688244,139.6028012,"35.6688244,139.6028012",千歳烏山,4
認可外保育施設,ニコニコ保育園世田谷,東京都,世田谷区（69.9％）,東京都世田谷区野毛1-9-27,,,,,,,19,,,7:00:00,20:00:00,,,35.6018322,139.6438443,"35.6018322,139.6438443",等々力,14
認可外保育施設,トリオランド梅ヶ丘園,東京都,世田谷区（69.9％）,東京都世田谷区梅丘1-21-9 ルミエール梅丘1階,,,,,,,20,,,7:30:00,20:30:00,,,35.6555938,139.6539833,"35.6555938,139.6539833",梅ヶ丘,3
認可外保育施設,セブンなないろ保育園(世田谷),東京都,世田谷区（69.9％）,東京都世田谷区駒沢5-15-11,,,,,,,30,,,7:00:00,20:00:00,,,35.6220645,139.6544956,"35.6220645,139.6544956",駒沢大学,21
認可外保育施設,三軒茶屋病院 保育所,東京都,世田谷区（69.9％）,東京都世田谷区三軒茶屋1-29-1,,,,,,,12,,,0:00:00,18:00:00,,,35.6409692,139.6701224,"35.6409692,139.6701224",三軒茶屋,5
認可外保育施設,日産厚生会玉川病院 保育所,東京都,世田谷区（69.9％）,東京都世田谷区瀬田4-8-1,,,,,,,33,,,8:00:00,8:00:00,,,35.6206029,139.6247783,"35.6206029,139.6247783",二子玉川,16
認可外保育施設,有隣病院院内 保育室,東京都,世田谷区（69.9％）,東京都世田谷区船橋2-15-38,,,,,,,30,,,8:00:00,8:00:00,,,35.6510523,139.6191114,"35.6510523,139.6191114",千歳船橋,10
認可外保育施設,都立松沢病院院内 保育室,東京都,世田谷区（69.9％）,東京都世田谷区上北沢2-1-1,,,,,,,24,,,7:30:00,7:30:00,,,35.6667456,139.6202667,"35.6667456,139.6202667",上北沢,7
認可外保育施設,関東中央病院院内 保育室,東京都,世田谷区（69.9％）,東京都世田谷区上用賀6-24-20,,,,,,,15,,,7:30:00,19:30:00,,,35.6365498,139.6251468,"35.6365498,139.6251468",千歳船橋,19
認可外保育施設,とまと保育室,東京都,世田谷区（69.9％）,東京都世田谷区奥沢2-7-17-102,,,,,,,8,,,7:45:00,7:45:00,,,35.6051068,139.6738703,"35.6051068,139.6738703",奥沢,5
認可外保育施設,世田谷神経内科病院さくらんぼ保育室,東京都,世田谷区（69.9％）,東京都世田谷区等々力6-37-6,,,,,,,設定なし,,,8:00:00,8:00:00,,,35.6131559,139.6591394,"35.6131559,139.6591394",尾山台,14
認可外保育施設,久我山病院さくら保育室,東京都,世田谷区（69.9％）,東京都世田谷区北烏山4-35-27ソレム世田谷101,,,,,,,15,,,7:45:00,7:45:00,,,35.6813456,139.597923,"35.6813456,139.597923",久我山,12
認可外保育施設,わかくさ保育園,東京都,世田谷区（69.9％）,東京都世田谷区野毛3-14-10,,,,,,,12,,,8:30:00,21:30:00,,,35.6057848,139.6366216,"35.6057848,139.6366216",上野毛,14
認可外保育施設,ひだまり保育室,東京都,世田谷区（69.9％）,東京都世田谷区池尻3-9-13大橋寮1階,,,,,,,10,,,7:15:00,20:00:00,,,35.651969,139.6823238,"35.651969,139.6823238",池尻大橋,6
認可外保育施設,国立研究開発法人国立成育医療研究センター成育ほほえみ保育園,東京都,世田谷区（69.9％）,東京都世田谷区大蔵2-11-2,,,,,,,16,,,7:30:00,21:30:00,,,35.6319213,139.6128975,"35.6319213,139.6128975",祖師ヶ谷大蔵,22
認可外保育施設,ハローキッズ プリスクール(本校),東京都,世田谷区（69.9％）,東京都世田谷区駒沢2-60-7 大高ビル1,,,,,,,13,,,10:00:00,14:30:00,,,35.637846,139.6580532,"35.637846,139.6580532",駒沢大学,11
認可外保育施設,ハローキッズ プリスクール(アネックス校),東京都,世田谷区（69.9％）,東京都世田谷区駒沢2-60-7 大高ビル1,,,,,,,13,,,10:00:00,14:30:00,,,35.637846,139.6580532,"35.637846,139.6580532",駒沢大学,11
認可外保育施設,バディスポーツ幼児園世田谷,東京都,世田谷区（69.9％）,東京都世田谷区千歳台3-18-10,,,,,,,450,,,8:00:00,18:59:00,,,35.6529128,139.6146871,"35.6529128,139.6146871",千歳船橋,17
認可外保育施設,FUTURE児童園・太子堂,東京都,世田谷区（69.9％）,東京都世田谷区太子堂5-9-6 ハピネス太子堂1F,,,,,,,35,,,7:30:00,19:00:00,,,35.6465315,139.6655622,"35.6465315,139.6655622",西太子堂,4
認可外保育施設,キティインターナショナルスクール二子玉川キャンパス,東京都,世田谷区（69.9％）,東京都世田谷区瀬田2-23-7,,,,,,,77,,,7:30:00,18:30:00,,,35.6197299,139.6325175,"35.6197299,139.6325175",用賀,15
認可外保育施設,ノックノックプリスクール千歳船橋校,東京都,世田谷区（69.9％）,東京都世田谷区船橋1-37-2 クリンゲルハイツ2階,,,,,,,24,,,9:30:00,18:00:00,,,35.6477575,139.6204061,"35.6477575,139.6204061",千歳船橋,5
認可外保育施設,ノックノックプリスクール成城校,東京都,世田谷区（69.9％）,東京都世田谷区成城8-6-5,,,,,,,34,,,9:30:00,18:00:00,,,35.6457876,139.5924877,"35.6457876,139.5924877",成城学園前,14
認可外保育施設,バディスポーツ幼児園 八幡山園舎,東京都,世田谷区（69.9％）,東京都世田谷区八幡山2-18-10,,,,,,,140,,,8:00:00,18:59:00,,,35.6630987,139.6159944,"35.6630987,139.6159944",八幡山,12
認可外保育施設,モンテッソーリ世田谷子供の家,東京都,世田谷区（69.9％）,東京都世田谷区野沢2-15-8,,,,,,,15,,,9:00:00,15:00:00,,,35.6331807,139.669345,"35.6331807,139.669345",駒沢大学,14
認可外保育施設,Pips・インターナショナルスクール深沢校,東京都,世田谷区（69.9％）,東京都世田谷区深沢6-15-8,,,,,,,29,,,9:00:00,18:00:00,,,35.6230809,139.6521639,"35.6230809,139.6521639",桜新町,20
認可外保育施設,オリジナル民間学童ゆめかなキッズ,東京都,世田谷区（69.9％）,東京都世田谷区砧6-18-5 LaLa奈津妃 B1F,,,,,,,34,,,9:00:00,19:00:00,,,35.6427293,139.60997,"35.6427293,139.60997",祖師ヶ谷大蔵,4
認可外保育施設,ケンブリッジインターナショナルスクール 桜新町校,東京都,世田谷区（69.9％）,東京都世田谷区桜新町1-8-8 フラットワン3F,,,,,,,35,,,8:30:00,18:00:00,,,35.6303794,139.644193,"35.6303794,139.644193",桜新町,5
認可外保育施設,幼児園ファーストクラスルーム羽根木の森,東京都,世田谷区（69.9％）,東京都世田谷区松原6-3-11明陶ビル1階,,,,,,,19,,,8:30:00,17:00:00,,,35.6571478,139.6530806,"35.6571478,139.6530806",梅ヶ丘,4
認可外保育施設,バディスポーツ幼児園世田谷園 芦花公園園舎,東京都,世田谷区（69.9％）,東京都世田谷区粕谷2-23-5,,,,,,,140,,,8:00:00,17:00:00,,,35.6658119,139.6091686,"35.6658119,139.6091686",芦花公園,9
認可外保育施設,アロハキッズ,東京都,世田谷区（69.9％）,東京都世田谷区太子堂1-1-10 アロハキッズビル,,,,,,,18,,,9:00:00,18:00:00,,,35.6449608,139.6790557,"35.6449608,139.6790557",三軒茶屋,13
認可外保育施設,マグキッズ,東京都,世田谷区（69.9％）,東京都世田谷区成城6-18-3,,,,,,,12,,,9:00:00,19:00:00,,,35.642117,139.5980026,"35.642117,139.5980026",成城学園前,5
認可外保育施設,グレースインターナショナルスクール,東京都,世田谷区（69.9％）,東京都世田谷区瀬田2-13-11,,,,,,,30,,,8:00:00,18:00:00,,,35.6185339,139.6305626,"35.6185339,139.6305626",二子玉川,14
認可外保育施設,Pips・インターナショナルスクール下馬校,東京都,世田谷区（69.9％）,東京都世田谷区下馬2-1-2,,,,,,,25,,,8:00:00,18:00:00,,,35.6383027,139.6792333,"35.6383027,139.6792333",三軒茶屋,15
認可外保育施設,さくらインターナショナルスクール 世田谷校,東京都,世田谷区（69.9％）,東京都世田谷区上用賀5-5-10 万葉ビル2階,,,,,,,89,,,7:30:00,19:00:00,,,35.6280886,139.6265212,"35.6280886,139.6265212",用賀,12
認可外保育施設,YORKERS' ENGLISHSCHOOL,東京都,世田谷区（69.9％）,東京都世田谷区代沢2-8-10,,,,,,,15,,,8:00:00,18:30:00,,,35.6578636,139.6727738,"35.6578636,139.6727738",池ノ上,6
認可外保育施設,BAMBINI ACADEMIA,東京都,世田谷区（69.9％）,東京都世田谷区上用賀6-22-19-2,,,,,,,16,,,9:00:00,19:00:00,,,35.6363714,139.6234156,"35.6363714,139.6234156",千歳船橋,18
認可外保育施設,ケイキインターカルチュラルプリスクール,東京都,世田谷区（69.9％）,東京都世田谷区中町4-5-8,,,,,,,30,,,9:00:00,19:00:00,,,35.618232,139.6436749,"35.618232,139.6436749",上野毛,14
認可外保育施設,Prime Academic Preschool上北沢校,東京都,世田谷区（69.9％）,東京都世田谷区上北沢4-20-27,,,,,,,75,,,8:00:00,20:00:00,,,35.6692477,139.622876,"35.6692477,139.622876",上北沢,4
認可外保育施設,大きな木保育園,東京都,世田谷区（69.9％）,東京都世田谷区赤堤5-42-13,,,,,,,40,,,7:30:00,19:30:00,,,35.6659083,139.6375381,"35.6659083,139.6375381",下高井戸,6
認可外保育施設,光の子園,東京都,世田谷区（69.9％）,東京都世田谷区中町5-19-15,,,,,,,162,,,8:00:00,18:00:00,,,35.6201556,139.6426188,"35.6201556,139.6426188",上野毛,15
認可外保育施設,保育所ハッピートーク等々力園,東京都,世田谷区（69.9％）,東京都世田谷区等々力3-12-2平林ビル2F,,,,,,,23,,,8:00:00,18:00:00,,,35.6089406,139.6486566,"35.6089406,139.6486566",等々力,3
認可外保育施設,キッズガーデンプレップスクール自由が丘,東京都,世田谷区（69.9％）,東京都世田谷区深沢1-7-1 レジディア自由ヶ丘II2F,,,,,,,99,,,8:00:00,19:00:00,,,35.6141031,139.6622088,"35.6141031,139.6622088",九品仏,15
認可外保育施設,モンテッソーリ二子玉川こどものいえ,東京都,世田谷区（69.9％）,東京都世田谷区玉川4-36-10,,,,,,,25,,,8:00:00,18:00:00,,,35.6188112,139.6223979,"35.6188112,139.6223979",二子玉川,15
認可外保育施設,ドレミファ保育室,東京都,世田谷区（69.9％）,東京都世田谷区北沢2-26-23,,,,,,,29,,,7:30:00,19:00:00,,,35.6622895,139.6667535,"35.6622895,139.6667535",下北沢,3
認可外保育施設,ローラスインターナショナルスクール オブ サイエンス 田園調布校,東京都,世田谷区（69.9％）,東京都世田谷区玉川田園調布1-16-17,,,,,,,85,,,8:30:00,18:00:00,,,35.6000473,139.6640028,"35.6000473,139.6640028",田園調布,7
認可外保育施設,インターナショナル保育園HAPPY HORIZONS,東京都,世田谷区（69.9％）,東京都世田谷区奥沢7-24-6,,,,,,,設定なし,,,7:30:00,18:30:00,,,35.6066783,139.658103,"35.6066783,139.658103",九品仏,6
認可外保育施設,用賀キッズワールド,東京都,世田谷区（69.9％）,東京都世田谷区用賀3-13-7 ゼネラルアコード1F,,,,,,,30,,,9:00:00,18:00:00,,,35.6279044,139.6359043,"35.6279044,139.6359043",用賀,5
認可外保育施設,保育所ちびっこランド世田谷園,東京都,世田谷区（69.9％）,東京都世田谷区世田谷4-12-12 ネイヴル世田谷101,,,,,,,22,,,7:30:00,19:00:00,,,35.643821,139.6529212,"35.643821,139.6529212",松陰神社前,4
認可外保育施設,Tokyo InternationalKindercare,東京都,世田谷区（69.9％）,東京都世田谷区玉川田園調布2-10-20,,,,,,,66,,,8:30:00,19:00:00,,,35.6010422,139.6671921,"35.6010422,139.6671921",田園調布,8
認可外保育施設,サニーキッズインターナショナルアカデミー,東京都,世田谷区（69.9％）,東京都世田谷区用賀3-8-1 ピアコヤマ2階,,,,,,,49,,,8:00:00,19:00:00,,,35.6301302,139.6394308,"35.6301302,139.6394308",桜新町,9
認可外保育施設,サンライズ幼児学園 下北沢,東京都,世田谷区（69.9％）,東京都世田谷区北沢2-23-13 伊達ビル2F,,,,,,,20,,,8:00:00,18:00:00,,,35.6614528,139.6666339,"35.6614528,139.6666339",下北沢,3
認可外保育施設,ヨコミネ式キッズアカデミー,東京都,世田谷区（69.9％）,東京都世田谷区桜3-1-4 パインヒルガーデン2F,,,,,,,30,,,8:00:00,18:00:00,,,35.6400107,139.6404669,"35.6400107,139.6404669",上町,11
認可外保育施設,Rin smile,東京都,世田谷区（69.9％）,東京都世田谷区大原2-27-31-402,,,,,,,1,,,9:00:00,18:00:00,,,35.671319,139.6583791,"35.671319,139.6583791",代田橋,2
認可外保育施設,Brighton Nursery SchoolCampus2,東京都,世田谷区（69.9％）,東京都世田谷区赤堤4-40-7グリンヴィル1階,,,,,,,60,,,7:30:00,19:00:00,,,35.665659,139.641503,"35.665659,139.641503",下高井戸,3
認可外保育施設,SUPER GLOBALPRESCHOOL 駒沢桜新町校,東京都,世田谷区（69.9％）,東京都世田谷区駒沢2-18-9 コン・フォレスト2階,,,,,,,35,,,8:00:00,18:00:00,,,35.6318075,139.6561824,"35.6318075,139.6561824",駒沢大学,10
認可外保育施設,アクア・チャイルドサロン,東京都,世田谷区（69.9％）,東京都世田谷区経堂5-21-8 グランツ経堂1階,,,,,,,20,,,8:00:00,18:00:00,,,35.6475731,139.6306019,"35.6475731,139.6306019",千歳船橋,9
認可外保育施設,Mira Nursery ミラ・ナーサリー,東京都,世田谷区（69.9％）,東京都世田谷区代田3-30-2-B,,,,,,,16,,,8:00:00,19:00:00,,,35.6543438,139.6571363,"35.6543438,139.6571363",梅ヶ丘,8
認可外保育施設,Oakwood Tokyo InternationalSchool,東京都,世田谷区（69.9％）,東京都世田谷区中町3-27-11,,,,,,,70,,,9:00:00,18:00:00,,,35.6157828,139.6423997,"35.6157828,139.6423997",上野毛,9
認可外保育施設,リトルマインズインターナショナルスクール,東京都,世田谷区（69.9％）,東京都世田谷区世田谷1-23-6-103,,,,,,,15,,,10:00:00,14:00:00,,,35.6418766,139.6472417,"35.6418766,139.6472417",上町,4
認可外保育施設,イマココモンテッソーリプリスクール,東京都,世田谷区（69.9％）,東京都世田谷区等々力8-21-15,,,,,,,20,,,9:00:00,18:00:00,,,35.6164146,139.6509414,"35.6164146,139.6509414",等々力,14
認可外保育施設,RISE Japan 世田谷,東京都,世田谷区（69.9％）,東京都世田谷区赤堤4-40-8,,,,,,,60,,,9:00:00,18:30:00,,,35.6656208,139.6413635,"35.6656208,139.6413635",下高井戸,3
認可外保育施設,東京インターナショナルスクール学芸大キンダーガーデン,東京都,世田谷区（69.9％）,東京都世田谷区下馬5-6-17,,,,,,,180,,,9:00:00,18:30:00,,,35.6342972,139.6805094,"35.6342972,139.6805094",学芸大学,14
認可外保育施設,ヒロック/キッズアイランド駒沢,東京都,世田谷区（69.9％）,東京都世田谷区駒沢4-1-23 パークサイドヒルズ駒沢101,,,,,,,28,,,9:00:00,18:00:00,,,35.6262358,139.6556273,"35.6262358,139.6556273",駒沢大学,15
,,東京都,品川区（82.3％）,,,,,,,,,,,,,,,,,,,
,,東京都,台東区（73.2％）,,,,,,,,,,,,,,,,,,,
,,東京都,港区（60.3％）,,,,,,,,,,,,,,,,,,,
,,埼玉県,,,,,,,,,,,,,,,,,,,,
,,千葉県,,,,,,,,,,,,,,,,,,,,
,,神奈川県,,,,,,,,,,,,,,,,,,,,
,,新潟県,,,,,,,,,,,,,,,,,,,,
,,富山県,,,,,,,,,,,,,,,,,,,,
,,石川県,,,,,,,,,,,,,,,,,,,,
,,福井県,,,,,,,,,,,,,,,,,,,,
,,山梨県,,,,,,,,,,,,,,,,,,,,
,,長野県,,,,,,,,,,,,,,,,,,,,
,,岐阜県,,,,,,,,,,,,,,,,,,,,
,,静岡県,,,,,,,,,,,,,,,,,,,,
,,愛知県,,,,,,,,,,,,,,,,,,,,
,,三重県,,,,,,,,,,,,,,,,,,,,
,,滋賀県,,,,,,,,,,,,,,,,,,,,
,,京都府,,,,,,,,,,,,,,,,,,,,
,,大阪府,,,,,,,,,,,,,,,,,,,,
,,兵庫県,,,,,,,,,,,,,,,,,,,,
,,奈良県,,,,,,,,,,,,,,,,,,,,
,,和歌山県,,,,,,,,,,,,,,,,,,,,
,,鳥取県,,,,,,,,,,,,,,,,,,,,
,,島根県,,,,,,,,,,,,,,,,,,,,
,,岡山県,,,,,,,,,,,,,,,,,,,,
,,広島県,,,,,,,,,,,,,,,,,,,,
,,山口県,,,,,,,,,,,,,,,,,,,,
,,徳島県,,,,,,,,,,,,,,,,,,,,
,,香川県,,,,,,,,,,,,,,,,,,,,
,,愛媛県,,,,,,,,,,,,,,,,,,,,
,,高知県,,,,,,,,,,,,,,,,,,,,
,,福岡県,,,,,,,,,,,,,,,,,,,,
,,佐賀県,,,,,,,,,,,,,,,,,,,,
,,長崎県,,,,,,,,,,,,,,,,,,,,
,,熊本県,,,,,,,,,,,,,,,,,,,,
,,大分県,,,,,,,,,,,,,,,,,,,,
,,宮崎県,,,,,,,,,,,,,,,,,,,,
,,鹿児島県,,,,,,,,,,,,,,,,,,,,
,,沖縄県,,,,,,,,,,,,,,,,,,,,
